"Year","N","MeanTCperArt","MeanTCperYear","CitableYears"
"2010","1992","67.0823293172691","6.09839357429719","11"
"2011","1997","70.9864797195794","7.09864797195794","10"
"2012","1995","68.4671679197995","7.60746310219994","9"
"2013","1982","62.6559031281534","7.83198789101917","8"
"2014","1979","49.8423446184942","7.12033494549917","7"
"2015","1975","57.9012658227848","9.65021097046414","6"
"2016","1970","53.7522842639594","10.7504568527919","5"
"2017","1979","49.6543708943911","12.4135927235978","4"
"2018","1957","41.8538579458355","13.9512859819452","3"
"2019","1945","25.3223650385604","12.6611825192802","2"
"2020","1919","13.6336633663366","13.6336633663366","1"