,Author,year,freq,TC,TCpY
0,CHEN X,2010,7,313,26.083000000000002
1,CHEN X,2011,3,144,13.091
2,CHEN X,2012,3,108,10.8
3,CHEN X,2013,8,400,44.443999999999996
4,CHEN X,2014,10,433,54.125
5,CHEN X,2015,4,222,31.714000000000002
6,CHEN X,2016,4,109,18.167
7,CHEN X,2017,16,586,117.2
8,CHEN X,2018,27,1178,294.5
9,CHEN X,2019,24,627,209.0
10,CHEN X,2020,22,318,159.0
11,CHEN Y,2010,9,608,50.667
12,CHEN Y,2011,7,370,33.635999999999996
13,CHEN Y,2012,8,473,47.3
14,CHEN Y,2013,10,986,109.556
15,CHEN Y,2014,12,601,75.125
16,CHEN Y,2015,17,812,116.0
17,CHEN Y,2016,17,1612,268.66700000000003
18,CHEN Y,2017,24,2400,480.0
19,CHEN Y,2018,16,584,146.0
0,CHEN Y,2019,20,472,157.333
1,CHEN Y,2020,23,266,133.0
2,KUMAR V,2010,8,903,75.25
3,KUMAR V,2011,16,2587,235.18200000000002
4,KUMAR V,2012,13,2320,232.0
5,KUMAR V,2013,8,657,73.0
6,KUMAR V,2014,10,702,87.75
7,KUMAR V,2015,16,789,112.714
8,KUMAR V,2016,12,470,78.333
9,KUMAR V,2017,19,981,196.2
10,KUMAR V,2018,20,982,245.5
11,KUMAR V,2019,6,134,44.667
12,KUMAR V,2020,7,72,36.0
13,LI J,2010,13,931,77.583
14,LI J,2011,11,971,88.273
15,LI J,2012,10,477,47.7
16,LI J,2013,9,544,60.443999999999996
17,LI J,2014,9,301,37.625
18,LI J,2015,11,734,104.85700000000001
19,LI J,2016,19,959,159.833
0,LI J,2017,20,1100,220.0
1,LI J,2018,24,1131,282.75
2,LI J,2019,24,591,197.0
3,LI J,2020,28,432,216.0
4,LI S,2010,9,434,36.167
5,LI S,2011,11,496,45.091
6,LI S,2012,17,949,94.9
7,LI S,2013,13,1093,121.444
8,LI S,2014,21,1210,151.25
9,LI S,2015,13,604,86.286
10,LI S,2016,19,1048,174.667
11,LI S,2017,23,1330,266.0
12,LI S,2018,33,2121,530.25
13,LI S,2019,30,672,224.0
14,LI S,2020,45,624,312.0
15,LI X,2010,5,425,35.417
16,LI X,2011,6,329,29.909000000000002
17,LI X,2012,6,283,28.3
18,LI X,2013,8,494,54.888999999999996
19,LI X,2014,8,258,32.25
0,LI X,2015,7,281,40.143
1,LI X,2016,16,1191,198.5
2,LI X,2017,13,566,113.2
3,LI X,2018,13,569,142.25
4,LI X,2019,26,649,216.333
5,LI X,2020,22,320,160.0
6,LI Y,2010,12,775,64.583
7,LI Y,2011,8,467,42.455
8,LI Y,2012,16,854,85.4
9,LI Y,2013,7,348,38.667
10,LI Y,2014,13,639,79.875
11,LI Y,2015,19,967,138.143
12,LI Y,2016,18,999,166.5
13,LI Y,2017,22,1348,269.6
14,LI Y,2018,32,1684,421.0
15,LI Y,2019,38,1003,334.333
16,LI Y,2020,45,592,296.0
17,LI Z,2010,5,520,43.333
18,LI Z,2011,4,340,30.909000000000002
19,LI Z,2012,11,1086,108.6
0,LI Z,2013,14,960,106.667
1,LI Z,2014,12,580,72.5
2,LI Z,2015,16,1047,149.571
3,LI Z,2016,23,1366,227.667
4,LI Z,2017,21,1975,395.0
5,LI Z,2018,24,1420,355.0
6,LI Z,2019,32,1006,335.333
7,LI Z,2020,39,630,315.0
8,LIU H,2010,4,196,16.333
9,LIU H,2011,7,443,40.273
10,LIU H,2012,10,353,35.3
11,LIU H,2013,11,596,66.222
12,LIU H,2014,9,323,40.375
13,LIU H,2015,17,860,122.85700000000001
14,LIU H,2016,18,747,124.5
15,LIU H,2017,18,779,155.8
16,LIU H,2018,24,873,218.25
17,LIU H,2019,20,437,145.667
18,LIU H,2020,15,211,105.5
19,LIU Y,2010,8,310,25.833000000000002
0,LIU Y,2011,6,735,66.818
1,LIU Y,2012,11,583,58.3
2,LIU Y,2013,11,688,76.444
3,LIU Y,2014,13,529,66.125
4,LIU Y,2015,16,1379,197.0
5,LIU Y,2016,19,907,151.167
6,LIU Y,2017,22,1080,216.0
7,LIU Y,2018,26,1534,383.5
8,LIU Y,2019,43,1340,446.667
9,LIU Y,2020,48,613,306.5
10,RUS D,2010,11,824,68.667
11,RUS D,2011,12,740,67.273
12,RUS D,2012,9,677,67.7
13,RUS D,2013,16,1722,191.333
14,RUS D,2014,7,358,44.75
15,RUS D,2015,14,775,110.714
16,RUS D,2016,9,664,110.667
17,RUS D,2017,17,756,151.2
18,RUS D,2018,10,545,136.25
19,RUS D,2019,8,200,66.667
0,RUS D,2020,6,100,50.0
1,SIEGWART R,2010,13,1183,98.583
2,SIEGWART R,2011,12,1098,99.818
3,SIEGWART R,2012,20,1294,129.4
4,SIEGWART R,2013,15,1257,139.667
5,SIEGWART R,2014,11,702,87.75
6,SIEGWART R,2015,16,1959,279.857
7,SIEGWART R,2016,19,1043,173.833
8,SIEGWART R,2017,16,877,175.4
9,SIEGWART R,2018,9,438,109.5
10,SIEGWART R,2019,3,121,40.333
11,SIEGWART R,2020,3,50,25.0
12,WANG H,2010,4,264,22.0
13,WANG H,2011,5,257,23.364
14,WANG H,2012,16,701,70.1
15,WANG H,2013,10,620,68.889
16,WANG H,2014,8,281,35.125
17,WANG H,2015,8,419,59.857
18,WANG H,2016,12,577,96.167
19,WANG H,2017,14,765,153.0
0,WANG H,2018,27,2023,505.75
1,WANG H,2019,21,544,181.333
2,WANG H,2020,23,363,181.5
3,WANG J,2010,18,1414,117.833
4,WANG J,2011,7,421,38.273
5,WANG J,2012,9,571,57.1
6,WANG J,2013,11,559,62.111000000000004
7,WANG J,2014,7,433,54.125
8,WANG J,2015,7,351,50.143
9,WANG J,2016,13,1323,220.5
10,WANG J,2017,10,874,174.8
11,WANG J,2018,21,1481,370.25
12,WANG J,2019,25,531,177.0
13,WANG J,2020,34,529,264.5
14,WANG L,2010,11,539,44.917
15,WANG L,2011,8,323,29.364
16,WANG L,2012,7,283,28.3
17,WANG L,2013,10,445,49.443999999999996
18,WANG L,2014,11,358,44.75
19,WANG L,2015,14,923,131.857
0,WANG L,2016,3,123,20.5
1,WANG L,2017,23,1228,245.6
2,WANG L,2018,13,462,115.5
3,WANG L,2019,18,567,189.0
4,WANG L,2020,22,340,170.0
5,WANG X,2010,6,277,23.083000000000002
6,WANG X,2011,4,205,18.636
7,WANG X,2012,6,228,22.8
8,WANG X,2013,10,1097,121.889
9,WANG X,2014,6,472,59.0
10,WANG X,2015,9,461,65.857
11,WANG X,2016,11,550,91.667
12,WANG X,2017,10,816,163.2
13,WANG X,2018,13,705,176.25
14,WANG X,2019,29,935,311.66700000000003
15,WANG X,2020,25,375,187.5
16,WANG Y,2010,12,644,53.667
17,WANG Y,2011,11,571,51.909
18,WANG Y,2012,11,424,42.4
19,WANG Y,2013,6,234,26.0
0,WANG Y,2014,18,532,66.5
1,WANG Y,2015,9,397,56.714
2,WANG Y,2016,25,1899,316.5
3,WANG Y,2017,22,986,197.2
4,WANG Y,2018,28,874,218.5
5,WANG Y,2019,37,1281,427.0
6,WANG Y,2020,38,626,313.0
7,WANG Z,2010,5,344,28.666999999999998
8,WANG Z,2011,8,761,69.182
9,WANG Z,2012,5,705,70.5
10,WANG Z,2013,11,1005,111.667
11,WANG Z,2014,14,472,59.0
12,WANG Z,2015,6,1273,181.857
13,WANG Z,2016,19,936,156.0
14,WANG Z,2017,21,1098,219.6
15,WANG Z,2018,30,1862,465.5
16,WANG Z,2019,24,766,255.333
17,WANG Z,2020,27,349,174.5
18,ZHANG J,2010,6,340,28.333000000000002
19,ZHANG J,2011,6,276,25.090999999999998
0,ZHANG J,2012,10,503,50.3
1,ZHANG J,2013,9,632,70.222
2,ZHANG J,2014,14,667,83.375
3,ZHANG J,2015,7,541,77.286
4,ZHANG J,2016,13,562,93.667
5,ZHANG J,2017,12,437,87.4
6,ZHANG J,2018,23,788,197.0
7,ZHANG J,2019,16,458,152.667
8,ZHANG J,2020,24,414,207.0
9,ZHANG Y,2010,6,504,42.0
10,ZHANG Y,2011,16,1051,95.545
11,ZHANG Y,2012,14,742,74.2
12,ZHANG Y,2013,21,1713,190.333
13,ZHANG Y,2014,14,673,84.125
14,ZHANG Y,2015,15,1162,166.0
15,ZHANG Y,2016,17,1511,251.833
16,ZHANG Y,2017,21,930,186.0
17,ZHANG Y,2018,33,1744,436.0
18,ZHANG Y,2019,36,1006,335.333
19,ZHANG Y,2020,34,492,246.0
