Year,Documents,Cumulative
1993,3458,3458
1994,3567,7025
1995,3768,10793
1996,3927,14720
1997,3829,18549
1998,4031,22580
1999,3933,26513
2000,4083,30596
2001,4593,35189
2002,5534,40723
2003,6375,47098
2004,8193,55291
2005,9009,64300
2006,10952,75252
2007,11329,86581
2008,15659,102240
2009,16390,118630
2010,16726,135356
2011,16395,151751
2012,17476,169227
2013,18918,188145
2014,17229,205374
2015,18572,223946
2016,19542,243488
2017,22017,265505
2018,25830,291335
2019,29989,321324
2020,32343,353667