ROBOTICS,PATH PLANNING,HUMAN-ROBOT INTERACTION,ADAPTIVE CONTROL,MOBILE ROBOT,MOTION PLANNING,MOBILE ROBOTS,MACHINE LEARNING,SOFT ROBOTICS,DEEP LEARNING,ROBOT,OBSTACLE AVOIDANCE,MOTION CONTROL,LOCALIZATION,ROBOTS,KINEMATICS,ANDROID,COMPUTER VISION,COLLISION AVOIDANCE,SLAM,OPTIMIZATION,REINFORCEMENT LEARNING,NAVIGATION,REHABILITATION ROBOTICS,GRASPING,ARTIFICIAL INTELLIGENCE,ROBOT CONTROL,NEURAL NETWORK,EXOSKELETON,VISUAL SERVOING,FORCE CONTROL,ROBUST CONTROL,SENSOR FUSION,AUTOMATION,MEDICAL ROBOTICS,SLIDING MODE CONTROL,DYNAMICS,GENETIC ALGORITHM,MULTI-ROBOT SYSTEMS,NEURAL NETWORKS,TRAJECTORY TRACKING,AERIAL ROBOTICS,CONTROL,MAPPING,SIMULATION,TRAJECTORY PLANNING,UAV
0.091836735,0.053380783,0.082774049,0.088353414,0.120967742,0.089430894,0.095238095,0.065116279,0.004672897,0,0.115942029,0.071428571,0.142045455,0.071428571,0.079754601,0.06918239,0.098684211,0.092105263,0.026666667,0.067114094,0.088435374,0.065693431,0.078740157,0.072,0.082644628,0.058823529,0.042016807,0.042372881,0.017699115,0.127272727,0.101851852,0.103773585,0.028301887,0.097087379,0.068627451,0.059405941,0.09,0.091836735,0.071428571,0.135416667,0.010416667,0.031578947,0.117021277,0.042553191,0.063829787,0.074468085,0.085106383
0.086734694,0.053380783,0.089485459,0.060240964,0.096774194,0.069105691,0.108225108,0.051162791,0.009345794,0,0.149758454,0.065934066,0.068181818,0.083333333,0.079754601,0.094339623,0.125,0.046052632,0.033333333,0.060402685,0.068027211,0.080291971,0.078740157,0.032,0.066115702,0.042016807,0.109243697,0.059322034,0.097345133,0.109090909,0.046296296,0.103773585,0.094339623,0.106796117,0.049019608,0.04950495,0.09,0.071428571,0.051020408,0.052083333,0.072916667,0.052631579,0.127659574,0.031914894,0.063829787,0.085106383,0.053191489
0.06462585,0.097864769,0.109619687,0.068273092,0.088709677,0.117886179,0.064935065,0.027906977,0.023364486,0,0.057971014,0.093406593,0.056818182,0.083333333,0.104294479,0.13836478,0.335526316,0.131578947,0.06,0.067114094,0.088435374,0.065693431,0.078740157,0.088,0.066115702,0.016806723,0.092436975,0.06779661,0.079646018,0.045454545,0.092592593,0.103773585,0.075471698,0.067961165,0.068627451,0.079207921,0.06,0.112244898,0.051020408,0.104166667,0.083333333,0.115789474,0.085106383,0.170212766,0.180851064,0.085106383,0.042553191
0.105442177,0.072953737,0.06935123,0.096385542,0.048387097,0.089430894,0.125541126,0.065116279,0.028037383,0,0.062801932,0.071428571,0.073863636,0.095238095,0.079754601,0.113207547,0.289473684,0.092105263,0.066666667,0.093959732,0.074829932,0.065693431,0.086614173,0.12,0.05785124,0.016806723,0.12605042,0.101694915,0.115044248,0.1,0.046296296,0.066037736,0.08490566,0.087378641,0.147058824,0.079207921,0.07,0.051020408,0.12244898,0.072916667,0.072916667,0.042105263,0.053191489,0.095744681,0.138297872,0.106382979,0.085106383
0.112244898,0.097864769,0.136465324,0.096385542,0.125,0.081300813,0.116883117,0.069767442,0.060747664,0.018957346,0.082125604,0.104395604,0.107954545,0.077380952,0.055214724,0.106918239,0.085526316,0.085526316,0.066666667,0.053691275,0.129251701,0.03649635,0.094488189,0.136,0.140495868,0.025210084,0.109243697,0.059322034,0.061946903,0.163636364,0.12962963,0.08490566,0.103773585,0.058252427,0.147058824,0.099009901,0.11,0.081632653,0.020408163,0.104166667,0.145833333,0.115789474,0.063829787,0.063829787,0.095744681,0.106382979,0.106382979
0.085034014,0.09430605,0.089485459,0.116465863,0.088709677,0.077235772,0.151515152,0.060465116,0.102803738,0.023696682,0.077294686,0.082417582,0.113636364,0.077380952,0.165644172,0.163522013,0.013157895,0.078947368,0.146666667,0.053691275,0.115646259,0.065693431,0.078740157,0.088,0.115702479,0.042016807,0.100840336,0.084745763,0.079646018,0.045454545,0.111111111,0.094339623,0.094339623,0.097087379,0.107843137,0.118811881,0.18,0.051020408,0.051020408,0.09375,0.072916667,0.073684211,0.095744681,0.063829787,0.063829787,0.106382979,0.095744681
0.088435374,0.083629893,0.096196868,0.088353414,0.060483871,0.105691057,0.047619048,0.065116279,0.08411215,0.023696682,0.09178744,0.137362637,0.0625,0.089285714,0.122699387,0.088050314,0.006578947,0.059210526,0.073333333,0.087248322,0.088435374,0.065693431,0.078740157,0.104,0.107438017,0.025210084,0.075630252,0.093220339,0.088495575,0.090909091,0.138888889,0.103773585,0.066037736,0.048543689,0.107843137,0.069306931,0.1,0.071428571,0.091836735,0.09375,0.114583333,0.105263158,0.042553191,0.159574468,0.031914894,0.085106383,0.074468085
0.107142857,0.080071174,0.098434004,0.136546185,0.072580645,0.081300813,0.073593074,0.134883721,0.14953271,0.08056872,0.101449275,0.087912088,0.073863636,0.095238095,0.061349693,0.075471698,0,0.072368421,0.12,0.087248322,0.054421769,0.087591241,0.086614173,0.136,0.132231405,0.142857143,0.084033613,0.076271186,0.159292035,0.063636364,0.083333333,0.08490566,0.150943396,0.067961165,0.078431373,0.108910891,0.11,0.081632653,0.112244898,0.09375,0.104166667,0.157894737,0.074468085,0.085106383,0.106382979,0.127659574,0.063829787
0.081632653,0.117437722,0.082774049,0.100401606,0.056451613,0.101626016,0.060606061,0.130232558,0.172897196,0.156398104,0.115942029,0.115384615,0.096590909,0.142857143,0.073619632,0.056603774,0.019736842,0.072368421,0.106666667,0.120805369,0.074829932,0.094890511,0.11023622,0.104,0.107438017,0.134453782,0.12605042,0.093220339,0.115044248,0.145454545,0.111111111,0.066037736,0.103773585,0.116504854,0.068627451,0.099009901,0.08,0.183673469,0.12244898,0.104166667,0.104166667,0.126315789,0.095744681,0.095744681,0.106382979,0.074468085,0.095744681
0.083333333,0.138790036,0.067114094,0.100401606,0.14516129,0.101626016,0.086580087,0.144186047,0.210280374,0.383886256,0.072463768,0.093406593,0.102272727,0.107142857,0.104294479,0.062893082,0.013157895,0.131578947,0.186666667,0.208053691,0.136054422,0.189781022,0.133858268,0.08,0.074380165,0.243697479,0.050420168,0.203389831,0.123893805,0.090909091,0.055555556,0.103773585,0.103773585,0.13592233,0.098039216,0.148514851,0.07,0.071428571,0.163265306,0.083333333,0.135416667,0.136842105,0.117021277,0.138297872,0.053191489,0.095744681,0.191489362
0.093537415,0.110320285,0.078299776,0.048192771,0.096774194,0.085365854,0.069264069,0.186046512,0.154205607,0.312796209,0.072463768,0.076923077,0.102272727,0.077380952,0.073619632,0.031446541,0.013157895,0.138157895,0.113333333,0.100671141,0.081632653,0.182481752,0.094488189,0.04,0.049586777,0.25210084,0.084033613,0.118644068,0.061946903,0.018181818,0.083333333,0.08490566,0.094339623,0.116504854,0.058823529,0.089108911,0.04,0.132653061,0.142857143,0.0625,0.083333333,0.042105263,0.127659574,0.053191489,0.095744681,0.053191489,0.106382979
